ori,ori9,crosswalk_agency_name,census_name,population,fips_state_county_code,state
NJ01801,NJ0180100,Bedminster Police,Bedminster Township,8240,34035,NJ
NC01901,NC0190100,Siler City Police Department,Siler City Town,8236,37037,NC
MA01450,MA0145000,Templeton Police Department,Templeton Town,8234,25027,MA
PA00419,PA0041900,Chippewa Township Police Department,Chippewa Township,8234,42007,PA
TN02801,TN0280100,Pulaski Police Department,Pulaski City,8233,47055,TN
NB09301,NB0930100,York Police Dept,York City,8232,31185,NE
NC08201,NC0820100,Clinton Police Department,Clinton City,8229,37163,NC
TX12612,TX1261200,Venus Police Department,Venus Town,8228,48251,TX
MA00305,MA0030500,Dighton Police Department,Dighton Town,8226,25005,MA
CA05201,CA0520100,Corning Police Department,Corning City,8223,06103,CA
MA01451,MA0145100,Upton Police Department,Upton Town,8220,25027,MA
FL00305,FL0030500,Springfield Police Department,Springfield City,8216,12005,FL
RI00505,RI0050500,Richmond Police Department,Richmond Town,8216,44009,RI
UT02101,UT0210100,Richfield Police Department,Richfield City,8216,49041,UT
ID04000,ID0400000,Shoshone County Sheriff's Office,Shoshone County,8215,16079,ID
IL01640,IL0164000,Glenwood Police Dept,Glenwood Village,8214,17031,IL
OH08730,OH0873000,Lake Township Police Department,Lake Township,8212,39173,OH
TX20200,TX2020000,Sabine County Sheriff's Office,Sabine County,8212,48403,TX
MI25400,MI2540000,Flushing Police Department,Flushing City,8211,26049,MI
WI04402,WI0440200,Rhinelander Police Department,Rhinelander City,8209,55085,WI
MO10901,MO1090100,Nevada Police Department,Nevada City,8208,29217,MO
GA07503,GA0750300,Hampton Police Department,Hampton City,8206,13151,GA
IA01900,IA0190000,Chickasaw County Sheriff's Office,Chickasaw County,8205,19037,IA
PA06528,PA0652800,Allegheny Township Police Department,Allegheny Township,8205,42129,PA
GA00900,GA0090000,Ben Hill County Sheriff's Office,Ben Hill County,8203,13017,GA
MO02700,MO0270000,Cooper County Sheriff's Office,Cooper County,8200,29053,MO
OH05724,OH0572400,Butler Township Police Department,Butler Township,8197,39113,OH
OK03100,OK0310000,Haskell County Sheriff's Office,Haskell County,8197,40061,OK
KY08100,KY0810000,Mason County Sheriff's Office,Mason County,8195,21161,KY
NJ01403,NJ0140300,Butler Police,Butler Borough,8195,34027,NJ
OH07622,OH0762200,Lawrence Township Police Department,Lawrence Township,8188,39151,OH
WY00401,WY0040100,Rawlins Police Department,Rawlins City,8186,56007,WY
IN01101,IN0110100,Brazil Police,Brazil City,8180,18021,IN
OK02001,OK0200100,Clinton Police Department,Clinton City,8178,40039,OK
NY04568,NY0456800,Waterford Town Police Department,Waterford Town,8177,36091,NY
NC07301,NC0730100,Roxboro Police Department,Roxboro City,8177,37145,NC
CA01101,CA0110100,Orland Police Department,Orland City,8175,06021,CA
NJ01904,NJ0190400,Byram Township Police,Byram Township,8171,34037,NJ
CO06220,CO0622000,Lochbuie Police Department,Lochbuie Town,8170,08123,CO
OR02404,OR0240400,Stayton Police Department,Stayton City,8168,41047,OR
MI33563,MI3356300,Mason Police Department,Mason City,8167,26065,MI
NJ00244,NJ0024400,Oradell Police,Oradell Borough,8167,34003,NJ
AR01901,AR0190100,Wynne Police Department,Wynne City,8164,05037,AR
WI06003,WI0600300,Sheboygan Falls Police Department,Sheboygan Falls City,8163,55117,WI
OK03600,OK0360000,Kay County Sheriff's Office,Kay County,8159,40071,OK
NC04503,NC0450300,Fletcher Police Department,Fletcher Town,8157,37089,NC
WI06814,WI0681400,Pewaukee (Village) Police Department,Pewaukee Village,8157,55133,WI
OH03904,OH0390400,Bellevue Police Department,Bellevue City,8155,39077,OH
PA03639,PA0363900,East Earl Township Police Department,East Earl Township,8145,42071,PA
PA01018,PA0101800,Buffalo Township Police Department,Buffalo Township,8144,42019,PA
PA00257,PA0025700,Castle Shannon Borough Police Department,Castle Shannon Borough,8142,42003,PA
AZ00733,AZ0073300,Wickenburg Police Department,Wickenburg Town,8139,04013,AZ
NC01106,NC0110600,Woodfin Police Department,Woodfin Town,8133,37021,NC
VA09701,VA0970100,Wytheville Police Department,Wytheville Town,8131,51197,VA
NY01702,NY0170200,Johnstown Police Department,Johnstown City,8120,36035,NY
OH05212,OH0521200,Hinckley Police Department,Hinckley Township,8118,39103,OH
MA00713,MA0071300,Monson Police Department,Monson Town,8115,25013,MA
PA04810,PA0481000,Wilson Borough Police Department,Wilson Borough,8114,42095,PA
WA01711,WA0171100,North Bend Pd,North Bend City,8110,53033,WA
NY05111,NY0511100,Port Jefferson,Port Jefferson Village,8107,36103,NY
MA00504,MA0050400,Boxford Police Department,Boxford Town,8103,25009,MA
NJ00708,NJ0070800,Glen Ridge Police,Glen Ridge Borough,8101,34013,NJ
NJ01224,NJ0122400,Spotswood Police,Spotswood Borough,8099,34023,NJ
MI49149,MI4914900,Mackinac County Sheriff's Office,Mackinac County,8098,26097,MI
RI00507,RI0050700,Charlestown Police Department,Charlestown Town,8096,44009,RI
PA03619,PA0361900,Colerain Twp Pd Kirkwood,Colerain Township,8094,42071,PA
TX06201,TX0620100,Cuero Police Department,Cuero City,8085,48123,TX
IA02401,IA0240100,Denison Police Department,Denison City,8082,19047,IA
FL00105,FL0010500,Newberry Pd,Newberry City,8081,12001,FL
MT00500,MT0050000,Carbon County Sheriff's Office,Carbon County,8080,30009,MT
IA02501,IA0250100,Perry Police Department,Perry City,8078,19049,IA
MN05200,MN0520000,Nicollet County Sheriff's Office,Nicollet County,8078,27103,MN
LA02604,LA0260400,Westwego Police Department,Westwego City,8071,22051,LA
NB03400,NB0340000,Gage County Sheriff's Office,Gage County,8070,31067,NE
ID00800,ID0080000,Boise County Sheriff's Office,Boise County,8069,16015,ID
NY05921,NY0592100,Croton-On-Hudson Village Police Department,Croton On Hudson Village,8068,36119,NY
MN01308,MN0130800,Wyoming Police Department,Wyoming City,8066,27025,MN
IL00300,IL0030000,Bond County Sheriff's Office,Bond County,8060,17005,IL
ME00607,ME0060700,Winslow Police Department,Winslow Town,8060,23011,ME
MO06800,MO0680000,Moniteau County Sheriff's Office,Moniteau County,8059,29135,MO
TX01509,TX0150900,Kirby Police Department,Kirby City,8058,48029,TX
AR02201,AR0220100,Monticello Police Department,Monticello City,8056,05043,AR
NJ00331,NJ0033100,Riverside Township Police,Riverside Township,8054,34005,NJ
TX18601,TX1860100,Fort Stockton Police Department,Fort Stockton City,8053,48371,TX
VT01205,VT0120500,Barre Town Police Dept,Barre Town,8052,50023,VT
WI03401,WI0340100,Antigo Police Department,Antigo City,8049,55067,WI
IA03400,IA0340000,Floyd County Sheriff's Office,Floyd County,8047,19067,IA
MO06200,MO0620000,Madison County Sheriff's Office,Madison County,8042,29123,MO
MO09509,MO0950900,Brentwood Police Department,Brentwood City,8041,29189,MO
VA08002,VA0800200,Vinton Police Department,Vinton Town,8039,51161,VA
WI06707,WI0670700,Jackson Police Department,Jackson Town,8039,55131,WI
CA04005,CA0400500,Pismo Beach Police Department,Pismo Beach City,8037,06079,CA
NB08901,NB0890100,Blair Police Dept,Blair City,8037,31177,NE
MD01719,MD0171900,Mount Rainier Police Department,Mount Rainier City,8035,24033,MD
NY05002,NY0500200,Hornell Police Department,Hornell City,8032,36101,NY
MI30473,MI3047300,Hillsdale Police Department,Hillsdale City,8031,26059,MI
KY02405,KY0240500,Oak Grove Police Department,Oak Grove City,8027,21047,KY
MO09548,MO0954800,Maplewood Police Department,Maplewood City,8022,29189,MO
NY03251,NY0325100,Kirkland Town Police Department,Kirkland Town,8019,36065,NY
AK00104,AK0010400,Ketchikan Police Dept.,Ketchikan City,8017,02130,AK
MN02731,MN0273100,Corcoran Police Department,Corcoran City,8017,27053,MN
GA07101,GA0710100,Bremen Police Department,Bremen City,8016,13143,GA
MI46689,MI4668900,Raisin Township Dept Of Public Safety,Raisin Charter Township,8015,26091,MI
ND03903,ND0390300,Wahpeton Police Department,Wahpeton City,8015,38077,ND
CA04306,CA0430600,Los Altos Hills Pd,Los Altos Hills Town,8012,06085,CA
MI33843,MI3384300,Lansing Township Police Department,Lansing Charter Township,8011,26065,MI
MA01207,MA0120700,Halifax Police Department,Halifax Town,8004,25023,MA
TN03800,TN0380000,Haywood County Sheriff's Office,Haywood County,8004,47075,TN
MA00201,MA0020100,Adams Police Department,Adams Town,8003,25003,MA
VT01202,VT0120200,Montpelier Police Department,Montpelier City,8001,50023,VT
GA05603,GA0560300,Tyrone Police Department,Tyrone Town,8000,13113,GA
PA01405,PA0140500,Spring Township Police Department,Spring Township,7999,42027,PA
NJ00327,NJ0032700,North Hanover Township Police,North Hanover Township,7998,34005,NJ
IL02303,IL0230300,Paris Police Dept,Paris City,7997,17045,IL
PA00202,PA0020200,Bellevue Borough Police Department,Bellevue Borough,7996,42003,PA
TX17901,TX1790100,Perryton Police Department,Perryton City,7994,48357,TX
OH07823,OH0782300,Weathersfield Township Police Department,Weathersfield Township,7992,39155,OH
PA01521,PA0152100,East Fallowfield Township Police Department,East Fallowfield Township,7990,42029,PA
MO09507,MO0950700,Berkeley Police Department,Berkeley City,7989,29189,MO
ND04900,ND0490000,Traill County Sheriff's Office,Traill County,7989,38097,ND
GA03301,GA0330100,Austell Police Department,Austell City,7987,13067,GA
PA01562,PA0156200,East Marlborough Township,East Marlborough Township,7985,42029,PA
MI46935,MI4693500,Madison Township Police Department,Madison Charter Township,7983,26091,MI
MS07900,MS0790000,Wilkinson County Sheriff's Office,Wilkinson County,7981,28157,MS
NB00701,NB0070100,Alliance Police Dept,Alliance City,7980,31013,NE
AR06200,AR0620000,St. Francis County Sheriff's Office,St Francis County,7972,05123,AR
PA01544,PA0154400,Valley Township Police Department,Valley Township,7972,42029,PA
CO06001,CO0600100,Woodland Park Police Dept,Woodland Park City,7971,08119,CO
PA00103,PA0010300,Conewago Township Police Department,Conewago Township,7966,42001,PA
IL02215,IL0221500,Oak Brook Police Dept,Oak Brook Village,7964,17043,IL
ME01007,ME0100700,Hampden Police Department,Hampden Town,7964,23019,ME
NY01453,NY0145300,Boston Town Pd Boston,Boston Town,7964,36029,NY
MO08700,MO0870000,Ralls County Sheriff's Office,Ralls County,7962,29173,MO
NC03800,NC0380000,Graham County Sheriff's Office,Graham County,7959,37075,NC
TN03901,TN0390100,Lexington Police Department,Lexington City,7950,47077,TN
VT00407,VT0040700,Shelburne Police Department,Shelburne Town,7948,50007,VT
AR03401,AR0340100,Newport Police Department,Newport City,7945,05067,AR
SC03300,SC0330000,Mccormick County Sheriff's Office,Mccormick County,7942,45065,SC
IL04517,IL0451700,West Dundee Police Dept,West Dundee Village,7941,17089,IL
MN08203,MN0820300,Mahtomedi Pd,Mahtomedi City,7939,27163,MN
CO02600,CO0260000,Gunnison County Sheriff's Office,Gunnison County,7933,08051,CO
NH00110,NH0011000,Gilford Police Department,Gilford Town,7927,33001,NH
ID02400,ID0240000,Gooding County Sheriff's Office,Gooding County,7926,16047,ID
PA00208,PA0020800,Dormont Borough Police Department,Dormont Borough,7926,42003,PA
KS02800,KS0280000,Finney County Sheriff's Office,Finney County,7925,20055,KS
LA05303,LA0530300,Ponchatoula Police Department,Ponchatoula City,7925,22105,LA
FL05101,FL0510100,Dade City Police Department,Dade City City,7924,12101,FL
CT00081,CT0008100,Middlebury Police Department,Middlebury Town,7922,09009,CT
NB08000,NB0800000,Seward County Sheriff's Office,Seward County,7919,31159,NE
MI54256,MI5425600,Big Rapids Dept Of Public Safety,Big Rapids City,7918,26107,MI
NY04570,NY0457000,Stillwater Town Police Dept,Stillwater Town,7917,36091,NY
DE00313,DE0031300,Georgetown Police Department,Georgetown Town,7916,10005,DE
PA06505,PA0650500,Latrobe Borough Police Department,City Of Latrobe Borough,7916,42129,PA
IL04924,IL0492400,Island Lake Police Dept,Island Lake Village,7915,17097,IL
IL04929,IL0492900,Lincolnshire Police Dept,Lincolnshire Village,7915,17097,IL
AR01000,AR0100000,Clark County Sheriff's Office,Clark County,7914,05019,AR
ND04500,ND0450000,Stark County Sheriff's Office,Stark County,7912,38089,ND
TN08600,TN0860000,Unicoi County Sheriff's Office,Unicoi County,7911,47171,TN
MA01226,MA0122600,West Bridgewater Police Department,West Bridgewater Town,7907,25023,MA
MI25431,MI2543100,Grand Blanc Police Department,Grand Blanc City,7905,26049,MI
IA01700,IA0170000,Cerro Gordo County Sheriff's Office,Cerro Gordo County,7903,19033,IA
NJ01803,NJ0180300,Bernardsville Police Department,Bernardsville Borough,7900,34035,NJ
IL04508,IL0450800,Hampshire Police Dept,Hampshire Village,7899,17089,IL
MN06400,MN0640000,Redwood County Sheriff's Office,Redwood County,7899,27127,MN
CA01958,CA0195800,Rolling Hills Estates Pd Palos Verdes Peninsula,Rolling Hills Estates City,7898,06037,CA
TX14101,TX1410100,Lampasas Police Department,Lampasas City,7894,48281,TX
PA00118,PA0011800,Eastern Adams Regional Police,Adams County,7890,42001,PA
TX06105,TX0610500,Lake Dallas Police Department,Lake Dallas Town,7885,48121,TX
IL01200,IL0120000,Clark County Sheriff's Office,Clark County,7884,17023,IL
IL08303,IL0830300,Harrisburg Police Department,Harrisburg City,7878,17165,IL
MI27127,MI2712700,Gogebic County Sheriff's Office,Gogebic County,7878,26053,MI
IL10107,IL1010700,South Beloit Police Dept,South Beloit City,7875,17201,IL
IA05400,IA0540000,Keokuk County Sheriff's Office,Keokuk County,7875,19107,IA
MI75780,MI7578000,Three Rivers Police Department,Three Rivers City,7874,26149,MI
NJ02116,NJ0211600,Mansfield Township Police,Mansfield Township,7873,34041,NJ
IL01647,IL0164700,Hillside Police Dept,Hillside Village,7870,17031,IL
NH00856,NH0085600,Plaistow Police Department,Plaistow Town,7869,33015,NH
OH02530,OH0253000,Blendon Township Police Department,Blendon Township,7869,39049,OH
KS05205,KS0520500,Basehor Police Department,Basehor City,7868,20103,KS
IA02400,IA0240000,Crawford County Sheriff's Office,Crawford County,7867,19047,IA
KY11801,KY1180100,Corbin Police Department,Corbin City,7865,21235,KY
NC02801,NC0280100,Kill Devil Hills Police Department,Kill Devil Hills Town,7865,37055,NC
NJ00613,NJ0061300,Upper Deerfield Twp Pd Seabrook,Upper Deerfield Township,7864,34011,NJ
ND02700,ND0270000,Mckenzie County Sheriff's Office,Mckenzie County,7863,38053,ND
WI00201,WI0020100,Ashland Police Department,Ashland City,7859,55003,WI
CA05009,CA0500900,Hughson Police Dept,Hughson City,7855,06099,CA
AR07203,AR0720300,Prairie Grove Police Department,Prairie Grove City,7852,05143,AR
AL05903,AL0590300,Montevallo Police Department,Montevallo City,7851,01117,AL
FL00902,FL0090200,Inverness Pd,Inverness City,7851,12017,FL
MO06300,MO0630000,Maries County Sheriff's Office,Maries County,7849,29125,MO
OH03302,OH0330200,Kenton Police Department,Kenton City,7849,39065,OH
NC08801,NC0880100,Brevard Police Department,Brevard City,7848,37175,NC
PA04303,PA0430300,Grove City Police Department,Grove City Borough,7848,42085,PA
MA01455,MA0145500,West Boylston Police Department,West Boylston Town,7846,25027,MA
NH00872,NH0087200,Stratham Police Department,Stratham Town,7846,33015,NH
CA04709,CA0470900,Yreka Police Department,Yreka City,7844,06093,CA
IL07400,IL0740000,Piatt County Sheriff's Office,Piatt County,7844,17147,IL
NM01401,NM0140100,Ruidoso Police Department,Ruidoso Village,7843,35027,NM
IL08109,IL0810900,Silvis Police Dept,Silvis City,7842,17161,IL
SC04401,SC0440100,Union Public Safety Department,Union City,7842,45087,SC
WV01005,WV0100500,Oak Hill Police Department,Oak Hill City,7842,54019,WV
FL00201,FL0020100,Macclenny Pd,Macclenny City,7839,12003,FL
FL03201,FL0320100,Marianna Police Department,Marianna City,7838,12063,FL
FL01900,FL0190000,Franklin County Sheriff's Office,Franklin County,7837,12037,FL
GA05801,GA0580100,Cumming Police Department,Cumming City,7836,13117,GA
VA04201,VA0420100,Ashland Police Department,Ashland Town,7834,51085,VA
OK01404,OK0140400,Noble Police Department,Noble City,7833,40027,OK
PA02105,PA0210500,West Shore Regional Police Department,_Undetermined,7832,42041,PA
IL04925,IL0492500,Park City Police Dept,Park City City,7831,17097,IL
MT04300,MT0430000,Roosevelt County Sheriff's Office,Roosevelt County,7831,30085,MT
MO10404,MO1040400,Dexter Police Department,Dexter City,7830,29207,MO
GA07801,GA0780100,Commerce Police Department,Commerce City,7829,13157,GA
PA00205,PA0020500,Carnegie Borough Police Department,Carnegie Borough,7828,42003,PA
TN02701,TN0270100,Humboldt Police Department,Humboldt City,7825,47053,TN
OR01602,OR0160200,Madras Police Department,Madras City,7823,41031,OR
FL01401,FL0140100,Arcadia Police Department,Arcadia City,7822,12027,FL
VA12400,VA1240000,South Boston Police Department,South Boston Town,7822,51083,VA
NY02522,NY0252200,Geneseo Village Police Department,Geneseo Village,7817,36051,NY
TX04320,TX0432000,Lavon Police Department,Lavon Town,7814,48085,TX
TX08405,TX0840500,Hitchcock Police Department,Hitchcock City,7812,48167,TX
CO00107,CO0010700,Derby Pd,_Undetermined,7809,08001,CO
WI00200,WI0020000,Ashland County Sheriff's Office,Ashland County,7808,55003,WI
WI06833,WI0683300,Mukwonago Township Police Department,Mukwonago Town,7806,55133,WI
MI31480,MI3148000,Houghton Police Department,Houghton City,7802,26061,MI
MI23435,MI2343500,Grand Ledge Police Department,Grand Ledge City,7795,26045,MI
MS06700,MS0670000,Sunflower County Sheriff's Office,Sunflower County,7792,28133,MS
WI02100,WI0210000,Forest County Sheriff's Office,Forest County,7792,55041,WI
MO11301,MO1130100,Marshfield Police Department,Marshfield City,7790,29225,MO
IL01612,IL0161200,Broadview Police Dept,Broadview Village,7789,17031,IL
IL05500,IL0550000,Mcdonough County Sheriff's Office,Mcdonough County,7788,17109,IL
SD06600,SD0660000,Yankton County Sheriff's Office,Yankton County,7781,46135,SD
MS08100,MS0810000,Yalobusha County Sheriff's Office,Yalobusha County,7778,28161,MS
GA00300,GA0030000,Bacon County Sheriff's Office,Bacon County,7773,13005,GA
OK01200,OK0120000,Choctaw County Sheriff's Office,Choctaw County,7773,40023,OK
FL01317,FL0131700,North Bay Village Police Department,North Bay Village City,7770,12086,FL
ME01613,ME0161300,South Berwick Police Department,South Berwick Town,7768,23031,ME
AK00123,AK0012300,Kenai Police Dept.,Kenai City,7765,02122,AK
GA06704,GA0671200,Dacula Marshal's Office,Dacula City,7763,13135,GA
SC04601,SC0460100,Clover Police Department,Clover Town,7762,45091,SC
IL10105,IL1010500,Rockton Police Dept,Rockton Village,7757,17201,IL
OR03004,OR0300400,Umatilla Police Department,Umatilla City,7756,41059,OR
NJ01407,NJ0140700,Chester Township Police,Chester Township,7755,34027,NJ
CA05702,CA0570200,Winters Police Department,Winters City,7754,06113,CA
TX14900,TX1490000,Live Oak County Sheriff's Office,Live Oak County,7753,48297,TX
NJ00704,NJ0070400,Fairfield Township Police,Fairfield Township,7752,34013,NJ
OK06400,OK0640000,Pushmataha County Sheriff's Office,Pushmataha County,7752,40127,OK
ID03500,ID0350000,Nez Perce County Sheriff's Office,Nez Perce County,7750,16069,ID
NY03155,NY0315500,Niagara Town Police Department,Niagara Town,7746,36063,NY
AR00102,AR0010200,Stuttgart Police Department,Stuttgart City,7743,05001,AR
WI05408,WI0540800,Beloit Township Police Department,Beloit Town,7741,55105,WI
MI70486,MI7048600,Hudsonville Pd,Hudsonville City,7740,26139,MI
MO06400,MO0640000,Marion County Sheriff's Office,Marion County,7740,29127,MO
WI02002,WI0200200,Ripon Police Department,Ripon City,7736,55039,WI
IA09601,IA0960100,Decorah Police Department,Decorah City,7734,19191,IA
AL04600,AL0460000,Macon County Sheriff's Office,Macon County,7733,01087,AL
WV00800,WV0080000,Clay County Sheriff's Office,Clay County,7731,54015,WV
MO09800,MO0980000,Saline County Sheriff's Office,Saline County,7729,29195,MO
WA02102,WA0210200,Chehalis Police Department,Chehalis City,7728,53041,WA
MI53540,MI5354000,Ludington Police Department,Ludington City,7727,26105,MI
MI11726,MI1172600,St. Joseph Police Department,St Joseph City,7726,26021,MI
IL04919,IL0491900,Round Lake Park Police Department,Round Lake Park Village,7722,17097,IL
IA04001,IA0400100,Webster City Police Department,Webster City City,7720,19079,IA
WV02605,WV0260500,Moundsville Police Department,Moundsville City,7718,54051,WV
MI19725,MI1972500,St. Johns Police Department,St Johns City,7717,26037,MI
CO03800,CO0380000,Logan County Sheriff's Office,Logan County,7715,08075,CO
SD05400,SD0540000,Roberts County Sheriff's Office,Roberts County,7714,46109,SD
AR05600,AR0560000,Poinsett County Sheriff's Office,Poinsett County,7712,05111,AR
MA00231,MA0023100,Williamstown Police Department,Williamstown Town,7710,25003,MA
MO02701,MO0270100,Boonville Police Department,Boonville City,7709,29053,MO
OH05003,OH0500300,Campbell Police Department,Campbell City,7701,39099,OH
TX12101,TX1210100,Jasper Police Department,Jasper City,7701,48241,TX
PA01533,PA0153300,East Vincent Township Police Department,East Vincent Township,7691,42029,PA
MS07301,MS0730100,New Albany Police Department,New Albany City,7688,28145,MS
PA03643,PA0364300,West Cocalico Twp Pd Denver,West Cocalico Township,7687,42071,PA
PA03803,PA0380300,Palmyra Borough Police Department,Palmyra Borough,7685,42075,PA
MO00100,MO0010000,Adair County Sheriff's Office,Adair County,7683,29001,MO
PA03653,PA0365300,Brecknock Twp Pd Terre Hill,Brecknock Township,7682,42071,PA
DE00315,DE0031500,Millsboro Police Department,Millsboro Town,7679,10005,DE
GA01200,GA0120000,Bleckley County Sheriff's Office,Bleckley County,7677,13023,GA
LA06200,LA0620000,West Carroll Parish Sheriff's Office,West Carroll Parish,7676,22123,LA
IL00604,IL0060400,Princeton Police Dept,Princeton City,7673,17011,IL
FL02001,FL0200100,Quincy Police Department,Quincy City,7669,12039,FL
TX24000,TX2400000,Webb County Sheriff's Office,Webb County,7665,48479,TX
CA05408,CA0540800,Woodlake Police Department,Woodlake City,7662,06107,CA
KS00601,KS0060100,Fort Scott Police Department,Fort Scott City,7654,20011,KS
CT00046,CT0004600,Easton Police Department,Easton Town,7653,09001,CT
NJ00103,NJ0010300,Brigantine Police,Brigantine City,7649,34001,NJ
TX15800,TX1580000,Marion County Sheriff's Office,Marion County,7648,48315,TX
CA00405,CA0040500,Paradise Police Department,Paradise Town,7647,06007,CA
NB08001,NB0800100,Seward Police Dept,Seward City,7647,31159,NE
WA01408,WA0140800,Ocean Shores Police Department,Ocean Shores City,7647,53027,WA
PA00629,PA0062900,Robeson Township Police Department,Robeson Township,7642,42011,PA
PA03703,PA0370300,Shenango Township Police Department,Shenango Township,7641,42073,PA
WI01304,WI0130400,Mount Horeb Police Department,Mount Horeb Village,7641,55025,WI
OH07704,OH0770400,Fairlawn Police Department,Fairlawn City,7640,39153,OH
NJ02005,NJ0200500,Fanwood Police,Fanwood Borough,7637,34039,NJ
SD04105,SD0410500,Tea Police Department,Tea City,7634,46083,SD
PA04011,PA0401100,Pittston City Police Department,Pittston City,7633,42079,PA
TX19400,TX1940000,Red River County Sheriff's Office,Red River County,7632,48387,TX
AR04100,AR0410000,Little River County Sheriff's Office,Little River County,7627,05081,AR
NH00742,NH0074200,Pembroke Police Department,Pembroke Town,7622,33013,NH
AR06101,AR0610100,Pocahontas Police Department,Pocahontas City,7620,05121,AR
KS09601,KS0960100,Wellington Police Department,Wellington City,7620,20191,KS
NY02917,NY0291700,Great Neck Plaza Pd Great Neck,Great Neck Plaza Village,7620,36059,NY
LA06103,LA0610300,Addis Police Department,Addis Town,7618,22121,LA
OH01515,OH0151500,St. Clair Township Police Department,St Clair Township,7617,39029,OH
TN04901,TN0490100,Ripley Police Department,Ripley City,7615,47097,TN
NM01400,NM0140000,Lincoln County Sheriff's Office,Lincoln County,7614,35027,NM
PA02108,PA0210800,New Cumberland Borough Police Department,New Cumberland Borough,7614,42041,PA
OK00900,OK0090000,Canadian County Sheriff's Office,Canadian County,7613,40017,OK
NY03327,NY0332700,Baldwinsville Village Police Department,Baldwinsville Village,7612,36067,NY
FL04105,FL0410500,Longboat Key Police Department,Longboat Key Town,7610,12081,FL
MN06500,MN0650000,Renville County Sheriff's Office,Renville County,7610,27129,MN
MS00700,MS0070000,Calhoun County Sheriff's Office,Calhoun County,7610,28013,MS
TX01501,TX0150100,Alamo Heights Police Department,Alamo Heights City,7609,48029,TX
IA08100,IA0810000,Sac County Sheriff's Office,Sac County,7608,19161,IA
KS10501,KS1050100,Bonner Springs Police Department,Bonner Springs City,7601,20209,KS
MI25899,MI2589900,Montrose Township Police Department,Montrose Charter Township,7600,26049,MI
NH00401,NH0040100,Sp: Coos County,State Of New Hampshire,7600,33007,NH
VA07800,VA0780000,Rappahannock County Sheriff's Office,Rappahannock County,7600,51157,VA
WY00701,WY0070100,Lander Police Department,Lander City,7600,56013,WY
NY02122,NY0212200,Ilion Village Police Department,Ilion Village,7599,36043,NY
TX02702,TX0270200,Marble Falls Police Department,Marble Falls City,7598,48053,TX
IL01800,IL0180000,Cumberland County Sheriff's Office,Cumberland County,7597,17035,IL
MI47269,MI4726900,Brighton Police Department,Brighton City,7597,26093,MI
TX24300,TX2430000,Wichita County Sheriff's Office,Wichita County,7595,48485,TX
GA05301,GA0530100,Swainsboro Police Department,Swainsboro City,7594,13107,GA
WI04503,WI0450300,Kimberly Pd,Kimberly Village,7592,55087,WI
FL03400,FL0340000,Lafayette County Sheriff's Office,Lafayette County,7589,12067,FL
NH00820,NH0082000,Epping Police Department,Epping Town,7585,33015,NH
PA06760,PA0676000,Lower Windsor Township Police Department,Lower Windsor Township,7585,42133,PA
GA09301,GA0930100,Dahlonega Police Department,Dahlonega City,7584,13187,GA
MI13207,MI1320700,Albion Dept Of Public Safety,Albion City,7584,26025,MI
NJ01203,NJ0120300,Dunellen Police,Dunellen Borough,7582,34023,NJ
ME00501,ME0050100,Bar Harbor Police Department,Bar Harbor Town,7580,23009,ME
NJ01601,NJ0160100,Bloomingdale Police,Bloomingdale Borough,7578,34031,NJ
VT00700,VT0070000,Grand Isle County Sheriff's Office,Grand Isle County,7578,50013,VT
MN03200,MN0320000,Jackson County Sheriff's Office,Jackson County,7574,27063,MN
OH05004,OH0500400,Canfield Police Department,Canfield City,7574,39099,OH
PA01009,PA0100900,Middlesex Twp Pd Valencia,Middlesex Township,7574,42019,PA
TX24500,TX2450000,Willacy County Sheriff's Office,Willacy County,7573,48489,TX
WA01000,WA0100000,Ferry County Sheriff's Office,Ferry County,7573,53019,WA
WI02802,WI0280200,Jefferson Police Department,Jefferson City,7573,55055,WI
IL05610,IL0561000,Marengo Police Dept,Marengo City,7571,17111,IL
KY06301,KY0630100,London Police Department,London City,7571,21125,KY
PA04201,PA0420100,Bradford City Police Department,Bradford City,7566,42083,PA
KS07000,KS0700000,Osage County Sheriff's Office,Osage County,7564,20139,KS
KY08701,KY0870100,Mount Sterling Police Department,Mount Sterling City,7556,21173,KY
MA00619,MA0061900,Orange Police Department,Orange Town,7556,25011,MA
OH07802,OH0780200,Hubbard City Police Department,Hubbard City,7555,39155,OH
WI07205,WI0720500,Grand Rapids Police Department,Grand Rapids Town,7552,55141,WI
CA0190X,CA0190X00,Westlake Village,Westlake Village City,7548,06037,CA
AR01100,AR0110000,Clay County Sheriff's Office,Clay County,7546,05021,AR
NJ00405,NJ0040500,Berlin Borough Police,Berlin Borough,7546,34007,NJ
NC09400,NC0940000,Washington County Sheriff's Office,Washington County,7542,37187,NC
CO05001,CO0500100,Lamar Police Department,Lamar City,7539,08099,CO
MA00510,MA0051000,Hamilton Police Department,Hamilton Town,7536,25009,MA
NC08503,NC0850300,King Police Department,King City,7536,37169,NC
PA06002,PA0600200,East Buffalo Township Police Department,East Buffalo Township,7536,42119,PA
GA14300,GA1430000,Twiggs County Sheriff's Office,Twiggs County,7535,13289,GA
GA04600,GA0460000,Dooly County Sheriff's Office,Dooly County,7533,13093,GA
VA08102,VA0810200,Lexington Police Department,Lexington City,7532,51678,VA
